"","vote12","gender","white","pid7","ideo5","rr_scale"
"1",9,2,FALSE,1,1,1.5
"2",2,2,FALSE,1,3,3.25
"3",2,1,TRUE,NA,3,3.75
"4",2,1,TRUE,6,3,2
"5",9,2,FALSE,4,3,2.75
"6",2,2,FALSE,1,1,1
"7",9,1,TRUE,5,3,5
"8",2,2,FALSE,1,5,2.25
"9",2,1,TRUE,1,2,1.75
"10",9,2,FALSE,1,4,4
"11",2,2,FALSE,1,5,3
"12",1,2,TRUE,6,3,5
"13",2,1,FALSE,1,4,2
"14",2,2,FALSE,1,2,3.25
"15",2,2,FALSE,2,3,5
"16",2,2,TRUE,1,1,1
"17",2,1,TRUE,1,1,1
"18",2,1,FALSE,2,1,1
"19",2,1,TRUE,2,2,1
"20",2,2,FALSE,1,1,3
"21",2,2,TRUE,1,1,2.25
"22",2,2,FALSE,NA,2,1
"23",2,2,FALSE,3,1,1
"24",2,2,TRUE,1,1,1.25
"25",2,2,TRUE,1,3,3.5
"26",9,1,FALSE,1,3,5
"27",2,1,TRUE,4,3,2.75
"28",2,1,TRUE,1,1,3
"29",1,2,TRUE,2,3,3.25
"30",2,2,FALSE,1,1,1
"31",2,1,FALSE,3,3,1
"32",1,2,TRUE,7,5,4.25
"33",2,1,FALSE,NA,1,3
"34",2,2,TRUE,1,1,1.75
"35",9,2,TRUE,2,2,2
"36",2,1,FALSE,1,1,3
"37",2,1,TRUE,1,2,4.25
"38",2,2,TRUE,1,1,2.25
"39",9,1,FALSE,2,1,1
"40",2,2,FALSE,1,2,3
"41",9,1,TRUE,4,4,2.75
"42",2,1,FALSE,4,3,1
"43",2,1,FALSE,2,3,3.5
"44",2,2,FALSE,1,1,1
"45",2,2,TRUE,1,3,2.75
"46",2,2,TRUE,2,3,3
"47",9,1,TRUE,1,2,3
"48",3,1,TRUE,4,1,1.5
"49",2,1,FALSE,2,2,3
"50",2,2,TRUE,1,1,1.5
"51",2,2,TRUE,7,3,4.25
"52",2,1,TRUE,1,1,1
"53",9,1,FALSE,6,4,4.5
"54",9,1,FALSE,4,3,NA
"55",2,2,FALSE,1,2,2.75
"56",2,1,TRUE,1,2,1
"57",1,2,TRUE,1,4,2.5
"58",2,1,FALSE,2,4,3.5
"59",2,2,FALSE,1,4,4.75
"60",2,2,FALSE,1,3,2.5
"61",2,2,TRUE,1,1,3
"62",9,1,FALSE,1,3,3
"63",2,1,FALSE,1,3,1.75
"64",2,1,TRUE,1,4,3.25
"65",1,2,TRUE,7,3,2
"66",2,1,FALSE,3,1,4.25
"67",9,2,FALSE,2,3,3.25
"68",1,1,FALSE,7,4,3.5
"69",9,2,TRUE,1,3,5
"70",3,1,TRUE,1,1,1
"71",2,2,TRUE,3,2,1.75
"72",2,2,FALSE,1,5,3
"73",1,1,TRUE,5,4,3.5
"74",9,2,FALSE,4,3,4
"75",2,1,TRUE,1,1,3
"76",2,2,TRUE,1,1,1.5
"77",2,2,TRUE,3,3,1.25
"78",2,2,FALSE,1,2,1
"79",2,1,FALSE,1,1,1.75
"80",1,2,TRUE,6,3,3.25
"81",9,2,FALSE,2,3,4.5
"82",2,2,TRUE,1,1,4.25
"83",1,1,FALSE,1,4,3
"84",1,2,TRUE,5,4,3.25
"85",2,1,FALSE,1,3,4
"86",2,1,TRUE,1,1,1.5
"87",3,1,TRUE,5,4,3.25
"88",2,2,TRUE,1,2,2
"89",2,2,TRUE,4,2,1.75
"90",9,1,TRUE,NA,2,1.25
"91",9,1,FALSE,1,4,4.75
"92",1,1,TRUE,5,4,5
"93",9,2,FALSE,7,3,2.75
"94",9,2,TRUE,1,2,1.5
"95",2,1,TRUE,3,1,1
"96",2,1,TRUE,4,5,3
"97",2,1,FALSE,5,3,1
"98",2,1,TRUE,1,3,3
"99",2,2,TRUE,1,2,1
"100",1,1,TRUE,NA,3,3
"101",2,1,FALSE,1,5,3
"102",2,2,TRUE,2,4,3.75
"103",2,1,TRUE,1,2,1.5
"104",2,1,TRUE,1,1,1.5
