STNAME,CNTYCODE,CNTYNAME,POP2010
Alabama,1,Autauga County,54571
Alabama,3,Baldwin County,182265
Alabama,5,Barbour County,27457
Alabama,7,Bibb County,22915
Alabama,9,Blount County,57322
Alabama,11,Bullock County,10914
Alabama,13,Butler County,20947
Alabama,15,Calhoun County,118572
Alabama,17,Chambers County,34215
Alabama,19,Cherokee County,25989
Alabama,21,Chilton County,43643
Alabama,23,Choctaw County,13859
Alabama,25,Clarke County,25833
Alabama,27,Clay County,13932
Alabama,29,Cleburne County,14972
Alabama,31,Coffee County,49948
Alabama,33,Colbert County,54428
Alabama,35,Conecuh County,13228
Alabama,37,Coosa County,11539
Alabama,39,Covington County,37765
Alabama,41,Crenshaw County,13906
Alabama,43,Cullman County,80406
Alabama,45,Dale County,50251
Alabama,47,Dallas County,43820
Alabama,49,DeKalb County,71109
Alabama,51,Elmore County,79303
Alabama,53,Escambia County,38319
Alabama,55,Etowah County,104430
Alabama,57,Fayette County,17241
Alabama,59,Franklin County,31704
Alabama,61,Geneva County,26790
Alabama,63,Greene County,9045
Alabama,65,Hale County,15760
Alabama,67,Henry County,17302
Alabama,69,Houston County,101547
Alabama,71,Jackson County,53227
Alabama,73,Jefferson County,658466
Alabama,75,Lamar County,14564
Alabama,77,Lauderdale County,92709
Alabama,79,Lawrence County,34339
Alabama,81,Lee County,140247
Alabama,83,Limestone County,82782
Alabama,85,Lowndes County,11299
Alabama,87,Macon County,21452
Alabama,89,Madison County,334811
Alabama,91,Marengo County,21027
Alabama,93,Marion County,30776
Alabama,95,Marshall County,93019
Alabama,97,Mobile County,412992
Alabama,99,Monroe County,23068
Alabama,101,Montgomery County,229363
Alabama,103,Morgan County,119490
Alabama,105,Perry County,10591
Alabama,107,Pickens County,19746
Alabama,109,Pike County,32899
Alabama,111,Randolph County,22913
Alabama,113,Russell County,52947
Alabama,115,St. Clair County,83593
Alabama,117,Shelby County,195085
Alabama,119,Sumter County,13763
Alabama,121,Talladega County,82291
Alabama,123,Tallapoosa County,41616
Alabama,125,Tuscaloosa County,194656
Alabama,127,Walker County,67023
Alabama,129,Washington County,17581
Alabama,131,Wilcox County,11670
Alabama,133,Winston County,24484
Alaska,13,Aleutians East Borough,3141
Alaska,16,Aleutians West Census Area,5561
Alaska,20,Anchorage Municipality,291826
Alaska,50,Bethel Census Area,17013
Alaska,60,Bristol Bay Borough,997
Alaska,68,Denali Borough,1826
Alaska,70,Dillingham Census Area,4847
Alaska,90,Fairbanks North Star Borough,97581
Alaska,100,Haines Borough,2508
Alaska,105,Hoonah-Angoon Census Area,2150
Alaska,110,Juneau City and Borough,31275
Alaska,122,Kenai Peninsula Borough,55400
Alaska,130,Ketchikan Gateway Borough,13477
Alaska,150,Kodiak Island Borough,13592
Alaska,164,Lake and Peninsula Borough,1631
Alaska,170,Matanuska-Susitna Borough,88995
Alaska,180,Nome Census Area,9492
Alaska,185,North Slope Borough,9430
Alaska,188,Northwest Arctic Borough,7523
Alaska,195,Petersburg Census Area,3815
Alaska,198,Prince of Wales-Hyder Census Area,5559
Alaska,201,Prince of Wales-Outer Ketchikan,
Alaska,220,Sitka City and Borough,8881
Alaska,230,Skagway Municipality,968
Alaska,231,Skagway-Yakutat-Angoon,
Alaska,232,Skagway-Hoonah-Angoon,
Alaska,240,Southeast Fairbanks Census Area,7029
Alaska,261,Valdez-Cordova Census Area,9636
Alaska,270,Wade Hampton Census Area,7459
Alaska,275,Wrangell City and Borough,2369
Alaska,280,Wrangell-Petersburg,
Alaska,282,Yakutat City and Borough,662
Alaska,290,Yukon-Koyukuk Census Area,5588
Arizona,1,Apache County,71518
Arizona,3,Cochise County,131346
Arizona,5,Coconino County,134421
Arizona,7,Gila County,53597
Arizona,9,Graham County,37220
Arizona,11,Greenlee County,8437
Arizona,12,La Paz County,20489
Arizona,13,Maricopa County,3817117
Arizona,15,Mohave County,200186
Arizona,17,Navajo County,107449
Arizona,19,Pima County,980263
Arizona,21,Pinal County,375770
Arizona,23,Santa Cruz County,47420
Arizona,25,Yavapai County,211033
Arizona,27,Yuma County,195751
Arkansas,1,Arkansas County,19019
Arkansas,3,Ashley County,21853
