name,popdens
"Autauga County, Alabama",91.80297
"Baldwin County, Alabama",114.6476
"Barbour County, Alabama",31.0292
"Bibb County, Alabama",36.80638
"Blount County, Alabama",88.90221
"Bullock County, Alabama",17.52395
"Butler County, Alabama",26.96476
"Calhoun County, Alabama",195.7061
"Chambers County, Alabama",57.35658
"Cherokee County, Alabama",46.93699
"Chilton County, Alabama",62.99018
"Choctaw County, Alabama",15.17131
"Clarke County, Alabama",20.85888
"Clay County, Alabama",23.06771
"Cleburne County, Alabama",26.73093
"Coffee County, Alabama",73.56418
"Colbert County, Alabama",91.84309
"Conecuh County, Alabama",15.55949
"Coosa County, Alabama",17.72705
"Covington County, Alabama",36.64881
"Crenshaw County, Alabama",22.84016
"Cullman County, Alabama",109.4197
"Dale County, Alabama",89.55007
"Dallas County, Alabama",44.77393
"DeKalb County, Alabama",91.50639
"Elmore County, Alabama",128.2215
"Escambia County, Alabama",40.54576
"Etowah County, Alabama",195.1997
"Fayette County, Alabama",27.4687
"Franklin County, Alabama",50.02047
"Geneva County, Alabama",46.6393
"Greene County, Alabama",13.97753
"Hale County, Alabama",24.47423
"Henry County, Alabama",30.80017
"Houston County, Alabama",175.1341
"Jackson County, Alabama",49.38175
"Jefferson County, Alabama",592.5313
"Lamar County, Alabama",24.07884
"Lauderdale County, Alabama",138.8489
"Lawrence County, Alabama",49.71785
"Lee County, Alabama",230.8456
"Limestone County, Alabama",147.8418
"Lowndes County, Alabama",15.7827
"Macon County, Alabama",35.23161
"Madison County, Alabama",417.682
"Marengo County, Alabama",21.52461
"Marion County, Alabama",41.46078
"Marshall County, Alabama",164.3905
"Mobile County, Alabama",335.92
"Monroe County, Alabama",22.49056
"Montgomery County, Alabama",292.4626
"Morgan County, Alabama",206.253
"Perry County, Alabama",14.7166
"Pickens County, Alabama",22.40278
"Pike County, Alabama",48.94999
"Randolph County, Alabama",39.46777
"Russell County, Alabama",82.58254
"St. Clair County, Alabama",132.2879
"Shelby County, Alabama",248.538
"Sumter County, Alabama",15.22645
"Talladega County, Alabama",111.6908
"Tallapoosa County, Alabama",58.08067
"Tuscaloosa County, Alabama",147.2709
"Walker County, Alabama",84.71143
"Washington County, Alabama",16.27559
"Wilcox County, Alabama",13.13452
"Winston County, Alabama",39.94265
"Aleutians East Borough, Alaska",0.4498748
"Aleutians West Census Area, Alaska",1.266663
"Anchorage Municipality, Alaska",171.1908
"Bethel Census Area, Alaska",0.4193492
"Bristol Bay Borough, Alaska",1.978791
"Denali Borough, Alaska",0.1431998
"Dillingham Census Area, Alaska",0.2610295
"Fairbanks North Star Borough, Alaska",13.29766
"Haines Borough, Alaska",1.081687
"Hoonah-Angoon Census Area, Alaska",0.2857175
"Juneau City and Borough, Alaska",11.57506
"Kenai Peninsula Borough, Alaska",3.446274
"Ketchikan Gateway Borough, Alaska",2.773951
"Kodiak Island Borough, Alaska",2.075248
"Lake and Peninsula Borough, Alaska",0.0689582
"Matanuska-Susitna Borough, Alaska",3.616522
"Nome Census Area, Alaska",0.4133829
"North Slope Borough, Alaska",0.1063189
"Northwest Arctic Borough, Alaska",0.2114831
"Petersburg Census Area, Alaska",1.162407
"Prince of Wales-Hyder Census Area, Alaska",1.417074
"Sitka City and Borough, Alaska",3.094059
"Skagway Municipality, Alaska",2.140055
"Southeast Fairbanks Census Area, Alaska",0.2837843
"Valdez-Cordova Census Area, Alaska",0.2814262
"Wade Hampton Census Area, Alaska",0.436673
"Wrangell City and Borough, Alaska",0.9321328
"Yakutat City and Borough, Alaska",0.08654209
"Yukon-Koyukuk Census Area, Alaska",0.03840423
"Apache County, Arizona",6.38695
"Cochise County, Arizona",21.30272
"Coconino County, Arizona",7.219605
"Gila County, Arizona",11.26477
"Graham County, Arizona",8.051751
"Greenlee County, Arizona",4.577549
"La Paz County, Arizona",4.553487
"Maricopa County, Arizona",414.8976
"Mohave County, Arizona",15.03905
"Navajo County, Arizona",10.79844
"Pima County, Arizona",106.7007
"Pinal County, Arizona",70.03302
"Santa Cruz County, Arizona",38.33727
"Yavapai County, Arizona",25.97809
"Yuma County, Arizona",35.50077
"Arkansas County, Arkansas",19.23501
"Ashley County, Arkansas",23.61596
"Baxter County, Arkansas",74.89489
"Benton County, Arkansas",261.211
"Boone County, Arkansas",62.52294
"Bradley County, Arkansas",17.72559
"Calhoun County, Arkansas",8.53987
"Carroll County, Arkansas",43.55907
"Chicot County, Arkansas",18.31433
"Clark County, Arkansas",26.55084
"Clay County, Arkansas",25.15071
"Cleburne County, Arkansas",46.90333
"Cleveland County, Arkansas",14.53536
"Columbia County, Arkansas",32.05002
"Conway County, Arkansas",38.52063
"Craighead County, Arkansas",136.3718
"Crawford County, Arkansas",104.4489
"Crittenden County, Arkansas",83.47871
"Cross County, Arkansas",28.99183
"Dallas County, Arkansas",12.16087
"Desha County, Arkansas",16.93415
"Drew County, Arkansas",22.34427
"Faulkner County, Arkansas",174.7796
"Franklin County, Arkansas",29.76889
"Fulton County, Arkansas",19.80771
"Garland County, Arkansas",141.6741
"Grant County, Arkansas",28.25697
"Greene County, Arkansas",72.85801
"Hempstead County, Arkansas",31.07681
"Hot Spring County, Arkansas",53.51571
"Howard County, Arkansas",23.42863
"Independence County, Arkansas",47.97023
"Izard County, Arkansas",23.59034
"Jackson County, Arkansas",28.3892
"Jefferson County, Arkansas",88.92953
"Johnson County, Arkansas",38.70849
"Lafayette County, Arkansas",14.47182
"Lawrence County, Arkansas",29.6368
"Lee County, Arkansas",17.29778
"Lincoln County, Arkansas",25.17112
"Little River County, Arkansas",24.74574
"Logan County, Arkansas",31.56647
"Lonoke County, Arkansas",88.69014
"Madison County, Arkansas",18.83956
"Marion County, Arkansas",27.89407
"Miller County, Arkansas",69.47494
"Mississippi County, Arkansas",51.61153
"Monroe County, Arkansas",13.42234
"Montgomery County, Arkansas",12.16469
"Nevada County, Arkansas",14.5621
"Newton County, Arkansas",10.14745
"Ouachita County, Arkansas",35.64492
"Perry County, Arkansas",18.94261
"Phillips County, Arkansas",31.27521
"Pike County, Arkansas",18.79898
"Poinsett County, Arkansas",32.41478
"Polk County, Arkansas",24.0906
"Pope County, Arkansas",76.0004
"Prairie County, Arkansas",13.44994
"Pulaski County, Arkansas",503.7728
"Randolph County, Arkansas",27.55176
"St. Francis County, Arkansas",44.51686
"Saline County, Arkansas",148.0341
"Scott County, Arkansas",12.58853
"Searcy County, Arkansas",12.30306
"Sebastian County, Arkansas",236.4003
"Sevier County, Arkansas",30.1844
"Sharp County, Arkansas",28.56203
"Stone County, Arkansas",20.43849
"Union County, Arkansas",40.06777
"Van Buren County, Arkansas",24.42303
"Washington County, Arkansas",215.5756
"White County, Arkansas",74.46415
"Woodruff County, Arkansas",12.37239
"Yell County, Arkansas",23.85525
"Alameda County, California",2043.62
"Alpine County, California",1.591424
"Amador County, California",64.06338
"Butte County, California",134.4362
"Calaveras County, California",44.68377
"Colusa County, California",18.61339
"Contra Costa County, California",1465.247
"Del Norte County, California",28.42882
"El Dorado County, California",106.0131
"Fresno County, California",156.1684
"Glenn County, California",21.40269
"Humboldt County, California",37.73079
"Imperial County, California",41.78706
"Inyo County, California",1.82165
"Kern County, California",103.2513
"Kings County, California",110.1049
"Lake County, California",51.46585
"Lassen County, California",7.68412
"Los Angeles County, California",2419.637
"Madera County, California",70.59435
"Marin County, California",485.1167
"Mariposa County, California",12.59718
"Mendocino County, California",25.05203
"Merced County, California",132.1947
"Modoc County, California",2.472325
"Mono County, California",4.657948
"Monterey County, California",126.5188
"Napa County, California",182.3771
"Nevada County, California",103.1185
"Orange County, California",3807.684
"Placer County, California",247.6402
"Plumas County, California",7.836531
"Riverside County, California",303.8434
"Sacramento County, California",1470.79
"San Benito County, California",39.79881
"San Bernardino County, California",101.4716
"San Diego County, California",735.8178
"San Francisco County, California",17179.16
"San Joaquin County, California",492.5576
"San Luis Obispo County, California",81.74368
"San Mateo County, California",1602.225
"Santa Barbara County, California",154.9842
"Santa Clara County, California",1381.011
"Santa Cruz County, California",589.3968
"Shasta County, California",46.94149
"Sierra County, California",3.399025
"Siskiyou County, California",7.152088
"Solano County, California",502.9955
"Sonoma County, California",307.0586
"Stanislaus County, California",344.1556
"Sutter County, California",157.2632
"Tehama County, California",21.51501
"Trinity County, California",4.336237
"Tulare County, California",91.65823
"Tuolumne County, California",24.92926
"Ventura County, California",446.6949
"Yolo County, California",197.9414
"Yuba County, California",114.1985
"Adams County, Colorado",378.1971
"Alamosa County, Colorado",21.37293
"Arapahoe County, Colorado",716.7057
"Archuleta County, Colorado",8.949948
"Baca County, Colorado",1.482602
"Bent County, Colorado",4.295834
"Boulder County, Colorado",405.5781
"Broomfield County, Colorado",1691.865
"Chaffee County, Colorado",17.57346
"Cheyenne County, Colorado",1.032461
"Clear Creek County, Colorado",22.99439
"Conejos County, Colorado",6.412972
"Costilla County, Colorado",2.872159
"Crowley County, Colorado",7.395026
"Custer County, Colorado",5.760701
"Delta County, Colorado",27.10213
"Denver County, Colorado",3922.597
"Dolores County, Colorado",1.934303
"Douglas County, Colorado",339.739
"Eagle County, Colorado",30.9861
"Elbert County, Colorado",12.47321
"El Paso County, Colorado",292.5816
"Fremont County, Colorado",30.54268
"Garfield County, Colorado",19.13072
"Gilpin County, Colorado",36.29847
"Grand County, Colorado",8.039193
"Gunnison County, Colorado",4.730944
"Hinsdale County, Colorado",0.7545303
"Huerfano County, Colorado",4.2181
"Jackson County, Colorado",0.8638409
"Jefferson County, Colorado",699.473
"Kiowa County, Colorado",0.7908282
"Kit Carson County, Colorado",3.827248
"Lake County, Colorado",19.39451
