"PSRAID","SAMPLE","INT_DATE","FCALL","ATTEMPT","REFUSAL","LANG","CREGION","STATE","DENSITY","USR","SCREGION","SSTATE","SUSR","IGENDER","IRACE","ILOC","FORM","LLITEXT","QS1","Q1","Q2","Q2_OE1","Q2_OE2","Q2_OE3","Q3","Q3A","Q4","Q5","Q5A","Q5A_OE1","Q5A_OE2","Q5A_OE3","Q7","Q8","Q9A","Q9B","Q9C","Q9D","Q11","Q12","Q13","SEX","AGE","RECAGE","RECAGE2","EDUC2","RECEDUC","HISP","RACE3M1","RACE3M2","RACE3M3","RACE3M4","RACECMB","RACETHN","PARENT","PARTY","PARTYLN","IDEO","HH1","HH3","QL1","QL1A","QC1","LC2","LC3","PHONEUS2","PHONEUSE","COWEIGHT","LLWEIGHT","CWEIGHT","WEIGHT","Q2VB","Q5AVB"
100002,"Landline",121712,121217,1,"No","English","Northeast","Pennsylvania","3","Suburban","Northeast","Pennsylvania","Suburban","Female","Black or African-American","PDS - Virginia","Form 2","Male first",NA,"Dissatisfied","Answer given ","Dissatisfaction with government/politics/Scandal/corruption in govt/Congress",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Don't know/Refused (VOL.)","Too much","No","Male","86","65+","65+","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Democrat","Liberal","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2,2.35294117647059,NA,1.58333333333333,"INCOMPETENT CONGRESS                                                                                                                                                                                                                                      ","                                                                                                                                                                                                                                                          "
100007,"Landline",121712,121217,1,"No","English","South","Florida","2","Urban","South","Florida","Urban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Protect people from becoming victims of crime [OR]","Safer [OR]","Favor","Oppose","Oppose","Favor","Don't know/Refused (VOL.)","Right amount","Yes","Female","51","45-54","50-64","Two year associate degree from any college or university","Some coll/Assoc degree","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","Republican","Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",4.9047619047619,5.41176470588235,NA,4.04166666666667,"ECONOMICS                                                                                                                                                                                                                                                 ","                                                                                                                                                                                                                                                          "
100008,"Landline",121912,121217,2,"No","English","South","South Carolina","3","Suburban","South","South Carolina","Suburban","Male","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Finances/money",NA,NA,"Don't know/Refused (VOL.)",NA,"A lot","Broader problems","Answer given","Lack of education/Problems with the education system",NA,NA,"Don't know/Refused (VOL.)","More dangerous","Favor","Oppose","Favor","Favor","Both equally (VOL.)","Right amount","Yes","Male","23","18-24","18-29","Four year college or university degree/Bachelor","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Republican",NA,"Conservative","4","3","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone","Dual from LL","Dual/most cell",4.71428571428572,11.0588235294118,NA,1.625,"OUR FINANCIAL SITUATION                                                                                                                                                                                                                                   ","EDUCATIONAL SYSTEM                                                                                                                                                                                                                                        "
100014,"Landline",121712,121217,1,"No","English","Northeast","Massachusetts","4","Suburban","Northeast","Massachusetts","Suburban","Female","White","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Trade/Jobs moving overseas",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Other",NA,NA,"Put people","More dangerous","Favor","Favor","Favor","Favor","Both equally (VOL.)","Too much","No","Male","86","65+","65+","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Democrat",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",2.38095238095238,2.76470588235294,NA,1.95833333333333,"THE POLITICIANS ARE NOT BEHAVING TO SOLVING THE TRADE DEFICIT. FOREIGN POLICY IS NOT EXPORTING ENOUGH, TRADE DEFICIT IS MORE IMPORTANT THEN THE BUDGET DEFICIT.                                                                                           ","THE PEOPLE EXPORT THE RIGHT TO BARE ARMS. MEANING THAT THE CONSTITUTION WAS DESIGN FOR GORILLA WARFARE-THAT IS WHAT HAPPEN IN 1776                                                                                                                        "
100015,"Landline",121712,121217,1,"No","English","South","Georgia","4","Suburban","South","Georgia","Suburban","Female","White","PDS - Virginia","Form 2","Female first",NA,"Dissatisfied","Answer given ","Morality/religion/family values (unsp)",NA,NA,"Protect the right of Americans to own guns","Yes, feel strongly","A lot","Broader problems","Answer given","General lack of/decline in morals or  religion/Breakdown of social structure",NA,NA,"Protect people from becoming victims of crime [OR]","Safer [OR]","Oppose","Oppose","Favor","Favor","Republican Party","Right amount","Yes","Male","60","55-64","50-64","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",3.19047619047619,4.35294117647059,NA,2.375,"CULTURAL ISSUES, BROKEN HOMES, & EDUCATION.                                                                                                                                                                                                               ","WE ARE RELYING TOO MUCH ON GOVERNMENT INSTEAD OF FAMILY AND OTHER RELIGIOUS INSTITUTIONS.                                                                                                                                                                 "
100016,"Landline",121712,121217,2,"No","English","South","Florida","4","Suburban","South","Florida","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Crime/Violence/gangs/justice system (unsp)","Defense issues/national and homeland security/military & defense spending",NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Oppose","Favor","Favor","Oppose","Don't know/Refused (VOL.)","Too much","No","Male","41","35-44","30-49","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Democrat",NA,"Moderate","3","2","Yes, have cell phone",NA,NA,NA,"(VOL.) Don't know/Refused","Dual from LL","Dual/few, some cell",9.28571428571429,17.4705882352941,NA,8.125,"SAFETY & SECURITY                                                                                                                                                                                                                                         ","                                                                                                                                                                                                                                                          "
100018,"Landline",121712,121217,1,"No","English","South","South Carolina","Lowest","Rural","South","South Carolina","Rural","Male","White","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Unemployment/lack of jobs/ Job cuts","Crime/Violence/gangs/justice system (unsp)",NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Don","Don't know",NA,NA,"Don't know/Refused (VOL.)","More dangerous","Favor","Oppose","Favor","Favor","Both equally (VOL.)","Too much","Yes","Male","64","55-64","50-64","High school incomplete (Grades 9-11 or Grade 12 with NO diploma)","LT HS","No","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",NA,NA,NA,"Black","Black, non-Hisp","No","Democrat",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"Some on a cell phone and some on a regular home phone","Dual from LL","Dual/few, some cell",8.14285714285714,13.1764705882353,NA,4.83333333333333,"JOBS  KILLINGS                                                                                                                                                                                                                                            ","                                                                                                                                                                                                                                                          "
100020,"Landline",121912,121217,2,"Yes","English","South","Florida","2","Suburban","South","Florida","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Economy (unsp)","Inflation/difference between wages/costs/prices",NA,"Control gun ownership","Yes, feel strongly","A lot","Broader problems","Answer given","Need more treatment/better safety net for mental health problems",NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Both equally (VOL.)","Too much","No","Male","77","65+","65+","Postgraduate or professional degree, including master","Coll+","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Independent","(VOL.) Other/Don't know/Refused","Moderate","2","2","No, do not","Yes, someone in household has cell phone",NA,NA,"Some on a cell phone and some on a regular home phone","LLO","Dual/few, some cell",1.85714285714286,2.11764705882353,NA,2.25,"ECONOMY...DOLLAR NOT GOING AS FAR AS IT USE TO....I LIVE ON A FIXED INCOME AND IT''S A WORRY LIVING ON A FIXED INCOME.                                                                                                                                    ","THERE IS NOT ENOUGH MENTAL HEALTH COVERAGE FOR PEOPLE OF ALL AGES.  PEOPLE WHO ARE CARETAKERS DON''T KNOW ENOUGH ABOUT MENTAL ILLNESS TO HELP THEM.                                                                                                       "
100025,"Landline",121712,121217,1,"No","English","Midwest","Ohio","3","Urban","Midwest","Ohio","Urban","Female","Black or African-American","PDS - Virginia","Form 1","Male first",NA,"Dissatisfied","Answer given ","Homelessness","Other",NA,"Control gun ownership","Yes, feel strongly","A lot","Don't know/Refused (VOL.)",NA,NA,NA,NA,"Put people","More dangerous","Favor","Oppose","Favor","Favor","Neither (VOL.)","Don't know/Refused (VOL.)","No","Female","25","25-34","18-29","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","Yes","Independent","(VOL.) Other/Don't know/Refused","Conservative","5","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a cell phone","Dual from LL","Dual/most cell",9.28571428571429,17.2352941176471,NA,5.83333333333333,"HOMELESSNESS BAD PEOPLE RUN THE WORLD                                                                                                                                                                                                                     ","                                                                                                                                                                                                                                                          "
100028,"Landline",121712,121217,1,"No","English","Northeast","New Jersey","2","Suburban","Northeast","New Jersey","Suburban","Female","Black or African-American","PDS - Virginia","Form 1","Female first",NA,"Dissatisfied","Answer given ","Economy (unsp)",NA,NA,"Control gun ownership","Yes, feel strongly","A lot","Isolated acts",NA,NA,NA,NA,"Put people","More dangerous","Oppose","Favor","Favor","Favor","Republican Party","Too much","No","Female","63","55-64","50-64","High school graduate (Grade 12 with diploma or GED certificate)","HS grad","No","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",NA,NA,NA,"White","White, non-Hisp","No","Republican",NA,"Moderate","2","2","Yes, have cell phone",NA,NA,NA,"All or almost all calls on a regular home phone","Dual from LL","Dual/few, some cell",5.0952380952381,5.23529411764706,NA,4.16666666666667,"THE ECONOMY                                                                                                                                                                                                                                               ","                                                                                                                                                                                                                                                          "
