"white","W8","dep_soc","dep_soc2","dep_pol","dep_power","dep_econ","wpb2a_UK","wpb3d_UK","vote_campaign","right_wing","age","college","female","own_home","married","soc","soc30","power","power30","pol","pol30","econ","econ30"
1,0.83694140640433,-1,-1,-2,-3,-1,7,1,1,1,1,0,1,NA,0,2,3,2,5,2,4,2,3
0,2.0545292446198,NA,NA,5,1,1,1,1,1,1,1,1,0,NA,0,1,NA,1,0,5,0,1,0
1,1.72083954797726,2,2,1,2,4,2,2,1,1,1,1,0,NA,0,3,1,7,5,6,5,7,3
1,1.39980258197961,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,NA,0,2,NA,7,NA,6,NA,5,NA
1,0.74842609084159,-1,-1,-3,-4,-2,7,1,1,1,1,0,1,NA,0,1,2,2,6,2,5,3,5
1,0.547765333176109,-1,-1,2,1,1,4,1,1,1,2,1,0,NA,0,2,3,3,2,7,5,9,8
1,0.547765333176109,-1,-1,NA,NA,NA,1,1,1,1,2,1,0,NA,0,2,3,7,NA,1,NA,7,NA
1,1.22350192009879,-1,0,NA,NA,NA,2,1,1,1,1,0,1,NA,0,1,2,NA,NA,NA,NA,NA,NA
0,1.06155734358593,1,1,-4,-1,-1,1,1,1,1,1,0,1,NA,0,2,1,2,3,1,5,6,7
1,1.24347956779778,NA,NA,2,4,1,1,1,1,1,1,1,0,NA,0,2,NA,5,1,5,3,1,0
1,1.32111008005321,NA,NA,NA,NA,NA,98,1,1,1,1,1,1,NA,0,3,NA,5,NA,7,NA,8,NA
1,1.65115753817662,-1,-1,NA,NA,NA,3,5,1,1,1,0,0,NA,0,2,3,2,NA,3,NA,8,NA
1,1.38794676175897,0,0,NA,NA,NA,2,1,1,1,1,0,0,NA,0,3,3,8,NA,8,NA,5,NA
1,0.957069661673498,0,0,-2,0,2,1,1,1,1,1,1,0,NA,0,4,4,10,10,8,10,7,5
1,1.5324291093459,NA,NA,-5,2,-2,1,1,1,1,1,1,1,NA,0,2,NA,4,2,2,7,3,5
1,1.25216953254361,NA,NA,NA,NA,NA,99,1,1,1,1,0,1,NA,0,NA,NA,2,NA,4,NA,9,NA
0,2.02627135105803,1,2,2,6,4,1,1,1,1,1,0,0,NA,0,2,1,6,0,3,1,5,1
1,1.83149368502474,0,0,6,8,9,2,1,1,1,1,1,0,NA,0,3,3,8,0,8,2,10,1
1,1.52140281936535,NA,NA,0,NA,NA,2,6,1,1,1,0,0,NA,0,2,NA,0,NA,4,4,5,NA
1,0.861894539966816,NA,NA,0,2,1,2,1,1,1,1,0,0,NA,0,3,NA,8,6,6,6,5,4
0,2.47165773621417,1,2,0,NA,NA,99,6,0,0,1,0,0,NA,0,2,1,NA,6,5,5,NA,5
1,0.456198669912503,0,0,-1,2,-3,7,1,1,1,2,1,0,NA,0,3,3,6,4,6,7,5,8
1,1.33526060150039,1,1,NA,NA,NA,2,5,1,1,1,1,1,NA,0,2,1,5,NA,7,NA,NA,NA
0,2.07436655318285,0,2,0,1,-2,3,6,1,1,1,1,0,NA,0,2,2,7,6,7,7,4,6
1,1.68945343884435,NA,1,NA,NA,NA,99,99,0,0,1,0,1,NA,0,NA,2,4,NA,3,NA,NA,NA
1,1.40638949699316,0,0,0,0,0,98,3,1,1,1,1,0,NA,0,2,2,3,3,2,2,2,2
1,1.71822302848904,NA,NA,-4,1,NA,4,8,0,0,1,0,1,NA,0,NA,NA,1,0,1,5,NA,NA
1,1.93495763989234,-2,-3,-6,NA,NA,4,11,1,1,1,1,1,NA,0,2,4,5,NA,2,8,8,NA
1,1.28820801823691,0,0,NA,NA,NA,3,4,1,1,1,0,1,NA,0,2,2,9,NA,4,NA,4,NA
1,0.86102927958518,-1,-1,0,2,1,1,1,1,1,1,1,1,NA,0,2,3,6,4,5,5,6,5
1,1.78369426163221,-1,-1,2,2,NA,2,4,1,1,1,0,0,NA,0,2,3,10,8,8,6,5,NA
1,1.48572368528542,-1,-1,-1,-5,1,3,1,1,1,1,0,1,NA,0,2,3,1,6,4,5,8,7
1,1.26166631905563,NA,NA,1,1,1,1,1,1,1,1,0,1,NA,0,2,NA,1,0,3,2,4,3
1,2.10747452892545,NA,NA,-4,-1,1,7,1,1,1,1,0,1,NA,0,2,NA,6,7,2,6,5,4
1,1.41829310915501,NA,NA,1,-1,2,1,1,1,1,1,1,1,NA,0,2,NA,2,3,3,2,5,3
1,1.08610635452447,NA,NA,NA,NA,NA,3,1,1,1,1,0,0,NA,0,NA,2,4,NA,NA,4,6,NA
1,1.33587705574581,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,NA,0,2,NA,NA,NA,7,NA,NA,NA
1,1.94617726910122,NA,NA,NA,NA,NA,99,3,1,1,1,1,1,NA,0,2,NA,0,NA,0,NA,0,NA
1,0.954784232975987,NA,NA,-3,-3,0,1,1,1,1,1,1,0,NA,0,NA,NA,0,3,2,5,5,5
1,1.4677908632011,2,0,-10,-10,0,1,1,1,1,1,1,0,NA,0,3,1,0,10,0,10,0,0
1,1.50897203945648,0,-1,-2,-4,2,2,9,1,1,1,0,0,NA,0,3,3,5,9,6,8,7,5
1,1.44675461422125,1,1,3,0,0,2,8,1,1,1,0,0,NA,0,3,2,3,3,7,4,7,7
0,1.32111008005321,-2,-2,-3,NA,NA,98,99,1,1,1,1,1,NA,0,1,3,4,NA,2,5,NA,NA
1,1.40985391278534,1,2,-1,-3,-1,99,6,1,1,1,0,0,NA,0,2,1,0,3,0,1,0,1
1,1.04147735277877,0,0,-2,-2,1,98,1,1,1,1,1,0,NA,0,2,2,4,6,4,6,5,4
0,1.05195563644227,NA,NA,NA,NA,NA,98,99,1,1,2,1,0,NA,0,3,NA,NA,NA,NA,NA,NA,NA
1,1.28820801823691,0,0,NA,NA,NA,98,99,1,1,1,1,1,NA,0,3,3,1,NA,2,NA,5,NA
0,1.83149368502474,NA,NA,1,-2,-2,2,1,1,1,1,1,0,NA,0,3,NA,8,10,6,5,8,10
1,1.28663095485559,0,0,4,3,1,2,1,1,1,1,1,1,NA,0,2,2,7,4,9,5,6,5
0,0.728893216725415,NA,NA,3,0,0,1,1,1,1,1,1,1,NA,0,2,NA,3,3,4,1,3,3
1,1.28098477083784,-1,0,-2,-2,3,2,1,1,1,1,1,1,NA,0,2,3,3,5,3,5,7,4
1,1.41447415072316,0,0,0,0,0,7,1,1,1,1,1,1,NA,0,2,2,5,5,5,5,6,6
1,1.32111008005321,1,1,-4,4,-2,7,1,1,1,1,1,1,0,0,2,1,5,1,2,6,4,6
1,1.00207385978826,0,0,0,-1,0,98,1,1,1,1,1,1,NA,0,2,2,5,6,8,8,6,6
1,1.60544429581485,NA,NA,4,3,5,2,6,1,1,1,1,1,NA,1,3,NA,7,4,7,3,9,4
1,1.78576007826014,NA,NA,1,1,-1,1,1,3,3,1,0,0,NA,0,4,NA,5,4,6,5,4,5
1,1.00735167377706,NA,NA,-4,-1,-2,1,1,1,1,1,0,0,NA,0,2,NA,4,5,2,6,4,6
1,1.31947907969836,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,0,3,NA,2,NA,5,NA,3,NA
1,0.786010157492338,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,0,3,NA,6,NA,8,NA,9,NA
1,0.804471830560332,NA,NA,2,4,1,1,1,1,1,1,1,1,NA,0,2,NA,7,3,7,5,5,4
1,1.38794676175897,NA,NA,-1,-4,0,2,9,1,1,1,1,0,NA,0,2,NA,1,5,0,1,3,3
1,2.40609948653126,NA,1,-6,-3,-3,4,7,0,0,1,0,1,NA,0,NA,3,2,5,2,8,3,6
1,3.53682469139737,NA,NA,NA,0,1,1,9,1,1,1,1,0,NA,0,3,NA,4,4,3,NA,7,6
1,1.6613442238527,-1,-1,-2,-4,2,1,2,1,1,1,1,0,NA,0,2,3,1,5,2,4,4,2
1,1.77400736183952,0,0,NA,NA,NA,98,1,1,1,1,1,1,NA,0,2,2,6,NA,4,NA,5,NA
0,0.883020788861242,NA,NA,1,0,2,1,1,1,1,1,1,1,NA,0,2,NA,1,1,2,1,5,3
1,0.787891598459235,NA,NA,0,0,NA,98,1,1,1,1,1,1,NA,0,3,NA,7,7,6,6,7,NA
1,1.39563501630499,-2,-1,-4,-2,5,7,1,1,1,1,1,0,NA,0,2,4,1,3,4,8,7,2
1,1.52848405469609,-3,-3,4,1,NA,98,1,1,1,1,1,1,NA,0,1,4,1,0,4,0,7,NA
1,1.20054050149746,-1,-1,1,2,2,3,1,1,1,1,0,1,NA,0,2,3,7,5,6,5,9,7
0,2.64822491761672,0,1,NA,2,2,1,3,1,1,1,0,1,NA,0,1,1,5,3,NA,3,5,3
1,2.29345253967528,0,0,-10,-10,0,99,99,1,0,1,0,1,NA,0,4,4,0,10,0,10,10,10
0,1.10670776880719,NA,1,-4,NA,0,2,99,0,0,2,1,1,NA,0,NA,2,NA,NA,2,6,2,2
1,2.57039767293934,1,1,1,1,NA,3,1,1,1,1,0,0,NA,0,2,1,1,0,1,0,7,NA
1,0.982717206187444,NA,NA,-1,0,2,3,1,1,1,1,1,0,NA,0,1,NA,3,3,4,5,5,3
1,2.41065468239847,1,1,3,4,0,5,1,1,1,1,0,1,NA,0,3,2,8,4,4,1,1,1
1,2.61738824298415,0,0,-3,-3,5,5,1,1,1,1,1,1,NA,0,3,3,2,5,2,5,8,3
1,1.77455008076473,NA,NA,-2,NA,NA,5,1,1,1,1,0,1,NA,0,2,NA,5,NA,3,5,3,NA
1,1.08427912395981,1,2,3,3,1,1,1,1,1,1,1,0,NA,0,3,2,4,1,3,0,5,4
1,1.44675461422125,NA,NA,NA,NA,NA,2,1,1,1,1,0,0,NA,0,3,NA,5,NA,5,NA,7,NA
