"socDep","socDep2","polDep1","polDep2","ecDep","sd1","sd2","pd1","pd2","pd3","pd4","ec1","ec2","teaparty","trump","third_party","pid7","age","college","female","own_home","married","wt"
1,1,2,3,0,4,3,8,6,9,6,6,6,1,1,1,1,27,1,1,0,0,1.31005864043466
1,1,-2,4,0,4,3,5,7,4,0,5,5,4,1,3,4,22,0,1,1,0,0.822444774980676
0,1,-1,1,-5,2,2,5,6,3,2,5,10,3,3,1,4,35,0,0,0,1,0.684910294649593
-1,0,1,-3,1,2,3,5,4,3,6,7,6,3,4,4,2,59,1,0,1,1,0.985472751540992
0,1,0,-2,-2,3,3,3,3,2,4,8,10,1,1,2,2,45,1,1,1,1,0.969829421803896
0,0,-1,2,-2,3,3,7,8,7,5,3,5,4,4,3,7,55,0,1,1,1,0.771329385970023
-2,0,-2,-1,4,1,3,4,6,1,2,6,2,3,1,3,3,18,0,1,0,0,1.46005202260656
-1,-1,-2,-3,-3,2,3,5,7,2,5,2,5,4,4,4,7,45,0,0,1,0,0.832673599097802
0,0,2,3,0,3,3,7,5,8,5,8,8,1,1,2,1,63,1,1,1,1,0.851411619082983
0,0,1,0,1,3,3,5,4,7,7,4,3,2,2,3,3,25,1,0,1,0,1.36527798203521
0,-1,1,-1,2,3,3,6,5,4,5,7,5,3,3,2,6,33,1,1,0,1,0.951245140882692
-1,-2,-4,-2,-4,3,4,5,9,6,8,4,8,2,5,2,1,38,0,0,0,0,0.865188204160568
2,2,-4,-4,-3,3,1,1,5,0,4,6,9,1,4,4,3,70,1,0,1,1,0.806290359845386
-1,-1,-4,-4,-4,3,4,2,6,1,5,1,5,1,1,1,3,28,0,1,0,0,1.08460247676401
0,0,-3,-2,-1,3,3,2,5,2,4,6,7,1,1,1,3,47,1,1,1,0,1.18571536547696
0,0,0,0,0,1,1,0,0,0,0,1,1,3,3,1,4,76,1,1,1,0,1.30067979544374
-2,-1,-1,-1,0,2,4,7,8,5,6,6,6,3,1,2,1,72,1,0,1,0,1.03817088521266
0,0,-2,0,0,3,3,2,4,5,5,3,3,3,3,1,4,51,0,1,1,0,1.31079890102165
0,-1,-1,1,0,4,4,5,6,6,5,5,5,3,4,3,5,66,0,0,1,0,0.808769537078292
3,0,-6,-1,-8,4,1,2,8,7,8,0,8,1,1,1,1,39,0,1,0,0,1.02517828825512
0,0,1,0,1,3,3,3,2,3,3,3,2,1,2,3,1,46,1,0,0,1,1.02864532845628
0,0,0,1,0,4,4,10,10,10,9,10,10,5,4,4,1,35,0,0,1,1,0.717899331727471
-1,1,2,-1,3,2,3,6,4,3,4,7,4,2,4,1,1,42,0,1,0,0,1.20587761041072
0,-1,1,-1,1,3,3,7,6,7,8,7,6,4,4,3,7,28,0,0,1,1,1.0448951733737
-1,1,-1,-1,-2,1,2,2,3,1,2,2,4,3,5,4,7,22,1,1,0,0,1.08459788563781
1,2,0,-1,1,3,2,9,9,8,9,9,8,5,5,3,1,53,1,1,1,1,1.25505699243484
0,0,0,0,-3,4,4,10,10,0,0,2,5,3,5,4,6,34,0,0,1,0,1.42951433657525
1,1,-1,0,0,3,2,7,8,4,4,7,7,1,1,1,1,57,1,1,1,1,0.718009250408674
0,0,-1,-2,-4,3,3,7,8,1,3,3,7,4,5,3,7,59,0,0,0,0,0.541328259223347
-1,0,-2,-1,-1,2,3,5,7,4,5,5,6,3,1,2,4,20,0,1,0,0,0.891431184016287
0,0,0,0,-3,4,4,3,3,2,2,2,5,3,1,3,2,54,1,1,1,1,0.902754346370359
0,0,0,0,1,3,3,7,7,7,7,7,6,3,5,4,5,33,0,0,1,0,0.75825828068281
0,0,0,0,-2,1,1,2,2,0,0,3,5,3,1,1,4,20,0,0,0,0,1.10872372223138
1,1,-3,-2,0,3,2,3,6,3,5,3,3,3,1,2,1,36,0,0,1,1,0.635767432543875
0,-1,-6,-3,2,3,3,2,8,2,5,5,3,3,5,3,6,54,0,1,1,1,0.886895624068659
0,0,-1,-1,-1,2,2,3,4,1,2,5,6,2,2,3,5,53,1,0,1,0,0.885007200601137
0,-1,-6,-6,-7,3,3,2,8,0,6,1,8,2,4,4,6,50,0,0,0,1,0.832673599097802
1,1,1,0,-1,3,2,1,0,2,2,3,4,1,1,1,3,52,1,1,0,0,1.30164870743789
-1,-1,-3,2,-3,2,3,3,6,5,3,2,5,4,5,4,7,65,0,0,0,0,0.671085328484537
0,0,-2,-2,5,3,3,0,2,0,2,5,0,2,1,1,4,43,1,0,1,1,0.847725474530199
1,1,1,2,0,3,2,6,5,5,3,3,3,1,1,1,1,21,0,1,0,0,0.938074257573367
2,1,1,1,0,4,2,6,5,6,5,7,7,2,4,2,7,78,0,1,1,1,0.764262111353379
0,0,-4,-3,-2,3,3,2,6,2,5,6,8,1,1,4,1,44,1,1,1,0,1.21703537278988
-1,-1,-3,-3,2,3,4,7,10,3,6,9,7,4,5,3,7,73,1,0,1,1,0.736992402444187
0,-1,0,0,-2,4,4,6,6,4,4,5,7,1,1,1,2,65,1,0,1,1,0.701950457688055
-1,0,1,1,2,3,4,7,6,8,7,8,6,4,1,3,7,68,1,0,1,0,1.13466982537596
0,-3,0,0,0,4,4,10,10,10,10,10,10,5,2,4,1,30,1,0,1,1,1.07031718476409
-1,0,-3,-1,-1,2,3,3,6,2,3,3,4,3,3,4,2,27,1,1,1,1,1.231007060359
-1,0,0,1,1,3,4,7,7,7,6,7,6,4,3,3,2,34,1,0,1,1,1.23979183686474
0,0,0,0,0,4,4,8,8,8,8,8,8,5,5,4,7,36,1,0,1,0,0.949784303043851
0,0,0,1,-6,1,1,0,0,2,1,1,7,2,1,1,1,55,1,1,1,1,0.74754625868897
0,3,0,0,0,1,1,0,0,0,0,0,0,1,1,3,2,45,1,1,1,0,0.917649122025639
0,0,1,0,-3,2,2,3,2,1,1,2,5,1,1,1,3,49,1,0,0,0,1.38019511141068
1,2,-1,-2,-1,3,2,8,9,7,9,7,8,1,4,3,7,45,1,0,1,1,0.744108942899536
-1,-1,0,0,0,3,4,5,5,5,5,5,5,2,1,2,1,22,1,1,1,0,0.979679996295024
1,2,-2,-3,0,2,1,2,4,1,4,6,6,1,1,1,2,44,1,1,1,0,0.829897244885358
-1,0,-2,0,0,2,3,3,5,2,2,9,9,1,2,2,2,68,1,1,1,1,1.25997978451697
1,1,0,-5,1,4,3,2,2,2,7,7,6,2,1,3,4,62,1,1,1,1,1.37486016079663
-2,-1,-9,-7,-2,1,3,0,9,0,7,0,2,2,1,2,2,20,0,1,0,0,0.827049991678052
-1,-2,0,1,1,2,3,0,0,3,2,5,4,3,1,3,2,27,1,1,0,0,0.902911405143792
1,1,-3,-2,2,3,2,1,4,1,3,5,3,5,5,4,6,60,0,0,1,0,0.684132925579315
-1,-1,0,0,3,2,3,4,4,1,1,8,5,3,1,1,4,33,1,0,0,0,1.19547964201569
0,-1,0,0,0,3,3,2,2,2,2,4,4,2,4,3,7,68,1,0,1,1,1.08040064352854
0,0,-4,-4,-1,2,2,1,5,1,5,4,5,4,4,3,4,56,0,1,1,1,0.836520027953328
0,1,0,0,1,2,2,1,1,1,1,1,0,2,1,3,3,51,0,1,0,0,0.768883845169354
0,0,-2,-2,-2,2,2,4,6,6,8,3,5,1,1,1,1,73,0,1,1,0,1.04314200355664
-1,-1,-2,3,-3,2,3,2,4,4,1,3,6,4,4,3,6,49,0,0,0,1,1.05090776007454
0,0,0,0,1,2,2,6,6,4,4,6,5,3,4,3,5,31,1,0,0,0,0.875442055209413
0,0,0,0,1,1,1,9,9,9,9,7,6,1,4,3,1,71,1,1,1,1,1.18395006359059
1,1,0,0,2,4,3,4,4,8,8,9,7,1,1,1,1,87,1,1,0,0,1.43893931536135
-1,0,-3,-5,-3,2,3,4,7,2,7,2,5,3,5,4,4,56,0,0,1,0,0.673007600884199
0,-1,-1,0,0,3,3,2,3,3,3,5,5,3,3,2,4,21,1,1,0,1,0.94959099365949
-1,0,1,0,0,3,4,5,4,7,7,5,5,4,1,3,2,43,1,0,1,1,1.40468754804547
0,0,0,-1,0,4,4,6,6,5,6,6,6,5,5,4,1,32,1,1,1,1,1.4834951538334
-2,-2,-2,0,-2,1,3,0,2,0,0,3,5,4,1,4,6,29,0,1,1,1,0.802967033197015
0,0,-5,-4,2,2,2,0,5,1,5,8,6,1,1,3,3,29,1,1,1,1,1.24149235409135
-1,-1,-1,2,-1,2,3,5,6,7,5,5,6,1,1,2,2,55,1,1,1,1,1.24275764350747
2,2,-2,-3,-2,4,2,8,10,5,8,5,7,3,2,4,7,65,0,1,0,0,1.09563675475129
1,1,2,2,-3,3,2,7,5,5,3,2,5,1,1,1,1,18,0,0,0,0,0.878639570960826
-3,-3,-8,-8,-2,1,4,0,8,0,8,5,7,4,4,3,4,53,0,1,1,1,0.758741486595744
-2,-2,-1,-1,0,1,3,1,2,1,2,3,3,1,1,1,1,52,1,1,1,0,1.30164870743789
-1,-1,0,0,-2,1,2,3,3,1,1,1,3,3,2,2,4,67,0,1,0,0,0.777221842105169
1,0,-4,-4,0,2,1,0,4,0,4,0,0,4,1,4,7,49,0,1,0,0,1.00730305735456
0,0,-1,0,1,3,3,5,6,5,5,5,4,3,1,3,3,56,0,1,1,0,0.909681516050907
0,0,-3,-5,-1,3,3,6,9,2,7,3,4,5,4,4,7,49,0,1,1,1,1.05720606642475
0,0,-2,-3,-3,2,2,1,3,1,4,2,5,2,3,2,2,43,0,0,0,0,1.01831159076451
1,2,-4,0,0,3,2,3,7,3,3,5,5,3,5,4,6,62,0,1,1,1,1.03417449158577
-1,0,0,0,3,2,3,3,3,4,4,8,5,4,4,2,4,41,0,1,1,1,1.15279184168449
0,0,-4,-6,1,3,3,2,6,0,6,8,7,1,1,1,2,62,1,0,0,1,1.26529992434598
0,-1,1,1,0,4,4,8,7,8,7,8,8,4,5,3,1,42,1,1,1,1,1.53931777234212
0,0,-5,-3,1,3,3,3,8,3,6,7,6,2,1,2,1,64,0,1,1,1,1.16798759949302
-1,-1,0,0,-5,1,2,7,7,0,0,0,5,3,4,3,5,52,0,1,0,1,0.840509038434814
1,2,-1,0,2,3,2,1,2,5,5,8,6,4,5,4,7,63,1,1,1,1,1.09626853833801
-1,1,-1,-1,2,2,3,8,9,7,8,9,7,4,1,3,1,31,1,0,1,1,1.35374722985557
-2,0,-5,-7,-3,1,3,0,5,0,7,3,6,4,5,4,7,54,0,1,1,1,0.628934501007348
-1,0,1,0,-4,2,3,4,3,7,7,3,7,4,1,3,2,57,1,1,1,1,1.09233198870541
0,-1,0,1,-1,3,3,5,5,5,4,5,6,4,4,3,4,50,1,1,1,1,1.10591995401979
2,2,-1,-3,-6,4,2,5,6,7,10,3,9,4,5,4,5,33,0,0,0,1,0.617930498889213
0,0,0,1,1,2,2,5,5,6,5,7,6,1,2,1,1,67,1,1,1,0,0.83291415213072
-1,-1,-3,-2,-1,3,4,7,10,8,10,6,7,4,1,2,3,28,0,1,1,1,0.887192119663341
0,-1,-6,-3,-2,4,4,3,9,4,7,3,5,4,4,3,4,30,0,1,0,1,1.02515984705531
0,1,0,-2,0,2,2,2,2,2,4,5,5,3,1,3,6,70,0,0,1,1,1.13799658958841
0,0,-2,-2,3,2,2,0,2,1,3,10,7,1,1,2,1,75,1,1,1,1,1.4267864403679
0,0,0,0,-1,2,2,5,5,1,1,7,8,2,1,3,2,30,1,1,1,1,1.34095451603201
-1,1,2,0,-1,1,2,4,2,1,1,5,6,4,4,3,7,58,0,1,1,1,1.03417449158577
0,-1,1,2,1,2,2,8,7,9,7,9,8,4,4,2,1,35,1,0,1,0,0.757313627500052
1,0,-4,0,-1,2,1,3,7,2,2,2,3,4,1,3,5,21,0,1,0,1,0.923761592646631
2,2,-5,-8,0,4,2,4,9,2,10,5,5,3,3,3,7,41,1,1,0,0,1.35935499541098
0,0,0,0,0,2,2,0,0,0,0,0,0,3,3,1,4,53,0,1,1,1,1.18485166695204
-1,-1,-3,-4,-3,2,3,3,6,1,5,1,4,2,4,4,1,55,0,1,0,0,1.03839991469962
2,2,3,3,2,4,2,8,5,6,3,8,6,4,4,3,2,66,0,0,1,0,0.976775438457927
0,0,0,-1,0,3,3,1,1,1,2,3,3,3,1,2,2,43,0,1,1,0,1.20587761041072
1,0,-3,1,-3,3,2,2,5,3,2,3,6,4,4,4,7,55,1,1,0,1,0.749185553999051
1,3,-7,-6,-8,2,1,1,8,1,7,0,8,5,5,4,5,50,0,0,0,0,1.16261703924884
-2,-2,-3,-6,-8,1,3,5,8,0,6,1,9,1,3,1,4,52,0,1,1,0,0.665784408216724
-1,-1,-3,-4,0,3,4,5,8,3,7,5,5,5,2,3,7,58,1,1,1,1,0.829724719810971
0,0,-1,-1,-3,4,4,8,9,8,9,7,10,5,5,3,4,31,1,1,1,1,1.34095451603201
1,1,-1,0,1,3,2,8,9,9,9,9,8,1,1,4,1,69,1,1,1,0,1.12806439225518
0,0,0,0,0,3,3,0,0,5,5,5,5,4,5,4,4,76,1,1,1,0,0.745602505963222
2,2,2,3,3,3,1,2,0,3,0,4,1,4,2,4,1,69,0,1,1,0,0.800461268964008
0,0,0,0,0,2,2,5,5,5,5,5,5,3,1,3,7,43,0,1,1,1,1.14506222126633
-1,-1,-7,-1,4,3,4,2,9,8,9,7,3,2,5,3,6,73,0,1,1,1,0.633413132439133
0,0,0,0,0,4,4,5,5,5,5,5,5,2,2,3,4,56,0,1,0,1,0.812520488638325
0,0,-2,-2,0,3,3,2,4,3,5,6,6,3,2,3,2,51,1,1,0,1,1.33565298699237
1,-1,-1,0,-1,4,3,7,8,7,7,7,8,4,4,4,7,27,1,0,0,0,0.875442055209413
-1,0,0,0,0,2,3,5,5,5,5,5,5,2,2,3,4,34,1,0,1,1,1.06334018021065
0,-1,-1,1,0,3,3,6,7,6,5,5,5,2,5,3,5,36,0,0,1,0,0.635767432543875
-1,-1,-3,-1,-2,2,3,3,6,6,7,2,4,1,1,2,2,57,1,1,0,0,0.937534564967132
0,1,2,0,-1,2,2,6,4,5,5,7,8,1,1,1,2,22,0,1,0,0,0.717270317205514
-1,-1,-1,0,2,1,2,2,3,0,0,3,1,3,1,3,4,53,0,0,1,0,0.624682053750765
0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,1,58,0,0,0,0,0.643228357273556
-2,-2,-7,-8,-5,2,4,1,8,1,9,3,8,5,1,4,7,35,0,1,1,1,1.02517828825512
1,1,0,2,-6,2,1,5,5,3,1,1,7,1,2,1,1,58,0,0,0,0,0.941226800581441
-1,-1,-1,-1,-1,2,3,4,5,3,4,3,4,1,1,1,1,63,0,1,1,1,1.16798759949302
0,0,-2,-1,-2,1,1,1,3,0,1,1,3,1,1,1,2,44,0,0,0,0,0.865188204160568
0,0,1,-1,1,4,4,7,6,8,9,8,7,3,5,3,7,36,1,0,1,0,1.11059227951854
0,0,-4,0,0,2,2,1,5,4,4,0,0,4,2,3,5,61,1,1,1,1,0.914201458118039
0,0,-1,-1,-1,3,3,6,7,6,7,8,9,4,2,2,5,66,1,1,1,1,1.4267864403679
0,0,1,1,-3,3,3,8,7,8,7,6,9,4,4,3,1,38,1,0,1,1,1.40468754804547
0,0,0,1,1,3,3,7,7,8,7,7,6,3,4,3,7,31,1,0,0,0,1.00893399229496
-1,-2,-7,-5,-1,2,3,0,7,0,5,3,4,4,5,4,6,59,0,1,1,0,0.901103940095466
-1,-1,0,0,3,1,2,1,1,2,2,6,3,2,2,4,6,24,1,1,0,1,1.10422484379656
-2,-2,-1,-2,-3,2,4,4,5,2,4,6,9,1,1,3,1,66,0,1,1,0,0.726059563304626
-1,-1,-3,-3,-8,2,3,0,3,0,3,0,8,4,1,1,4,51,0,0,0,1,0.905498681072959
0,0,-9,-4,0,4,4,1,10,6,10,10,10,1,1,1,1,65,1,1,1,0,1.46084211438129
0,0,0,0,-1,2,2,4,4,5,5,7,8,1,2,1,1,65,1,0,1,1,1.0896031237261
-2,-2,-6,-3,1,1,3,0,6,1,4,6,5,1,1,2,2,80,0,0,1,0,0.596329323822318
0,-2,-6,-7,-1,4,4,3,9,2,9,5,6,2,2,3,4,71,1,1,1,1,1.11124574671694
1,1,-1,1,0,2,1,6,7,4,3,4,4,3,1,2,3,28,1,0,0,1,0.900162595983666
1,0,-2,0,0,3,2,2,4,2,2,3,3,2,2,4,6,65,0,1,1,1,0.971271510085113
0,0,-1,-1,-2,2,2,5,6,7,8,5,7,2,4,3,4,69,1,0,0,0,0.648207590440935
1,1,-2,3,-2,3,2,1,3,3,0,4,6,4,1,1,5,33,0,0,1,0,1.15005149062081
0,0,-3,-2,-6,3,3,2,5,1,3,1,7,2,4,4,2,47,0,1,1,0,1.11793668662274
-3,-1,0,0,1,1,4,7,7,7,7,9,8,1,3,1,1,85,1,0,0,1,0.704105564659269
0,2,0,0,0,2,2,9,9,9,9,9,9,1,1,3,1,39,1,0,0,1,1.20357125003959
-1,-1,-4,-4,-4,2,3,2,6,3,7,4,8,4,4,3,7,41,0,0,0,0,1.07449306690113
0,0,-2,-5,-5,3,3,0,2,0,5,0,5,3,3,3,2,50,0,1,1,1,1.12808240178319
-3,-3,-6,-6,-6,1,4,0,6,0,6,0,6,5,1,4,4,44,0,1,0,1,1.02517828825512
1,0,-4,-2,-1,3,2,3,7,4,6,4,5,4,1,2,5,30,1,1,0,0,1.32121726827189
1,1,1,1,0,3,2,5,4,5,4,6,6,3,2,3,2,38,1,1,0,0,1.07447574823435
1,0,0,0,0,3,2,6,6,7,7,5,5,4,3,2,6,30,0,0,0,0,0.60098782069481
0,0,-1,2,-2,2,2,6,7,5,3,3,5,4,1,4,4,35,0,0,1,1,0.865188204160568
0,0,-6,-8,-3,3,3,1,7,0,8,5,8,1,1,2,1,57,0,1,1,1,0.680018879821085
0,-1,-2,-2,-2,3,3,2,4,0,2,2,4,3,1,3,2,46,0,1,0,1,1.27404636955291
0,0,0,0,-1,2,2,1,1,1,1,2,3,1,1,2,1,64,1,0,0,0,0.624616807960007
0,0,0,0,-1,3,3,4,4,4,4,4,5,4,4,2,4,46,0,0,0,0,0.992571793600118
1,2,0,0,4,2,1,0,0,0,0,4,0,3,1,3,2,21,0,1,0,0,1.3226958106287
1,1,-1,-1,3,3,2,2,3,2,3,4,1,3,3,3,4,47,1,1,0,0,1.51247789392761
0,0,-2,-1,1,1,1,3,5,3,4,4,3,1,2,2,2,48,0,1,1,0,1.03636082024193
2,1,0,-3,-4,3,1,2,2,0,3,4,8,1,1,1,1,21,0,1,0,0,0.830774301302301
0,0,0,0,1,4,4,10,10,10,10,10,9,3,5,3,4,46,1,1,1,1,0.926919148595907
-1,-1,-2,-2,-1,2,3,3,5,2,4,5,6,1,1,2,3,69,1,1,1,1,0.829810651993489
1,1,4,3,1,3,2,6,2,7,4,6,5,1,2,2,2,42,1,1,1,1,1.07155769912866
0,0,0,0,-3,4,4,7,7,0,0,4,7,5,5,4,7,62,1,1,1,1,1.08372358471585
1,1,5,0,0,2,1,5,0,0,0,0,0,1,1,1,1,20,0,1,0,0,0.755621983698974
0,0,-1,-1,0,4,4,3,4,6,7,4,4,1,1,1,3,74,1,1,1,1,1.13358762898616
0,0,0,0,-1,4,4,10,10,10,10,6,7,4,4,3,1,61,1,1,1,0,0.737228942291431
-1,-1,-2,-2,-5,2,3,4,6,6,8,2,7,2,4,4,6,60,0,0,1,0,0.684132925579315
0,-1,1,0,0,3,3,3,2,1,1,3,3,3,1,1,1,31,0,1,0,0,1.04577979811021
0,1,-5,-1,4,1,1,0,5,1,2,5,1,1,1,1,1,46,1,1,1,0,1.18571536547696
1,1,0,0,0,3,2,3,3,4,4,6,6,5,4,4,7,69,1,0,1,1,1.11043096054525
1,1,0,0,1,4,3,7,7,7,7,8,7,4,2,3,1,30,1,0,1,1,0.868048318901438
1,2,-1,0,4,2,1,2,3,1,1,5,1,4,4,4,3,52,0,0,0,0,0.734119857916479
0,0,-3,-2,-5,4,4,7,10,8,10,5,10,4,5,4,7,62,0,0,0,1,0.840136161417726
0,0,-3,-1,0,3,3,0,3,0,1,5,5,1,1,2,1,66,1,0,1,1,1.30199831543262
-1,0,-1,1,2,2,3,7,8,9,8,7,5,4,2,3,6,54,0,0,1,1,1.00055608909015
0,1,-3,-3,0,3,3,2,5,1,4,3,3,3,4,3,4,54,1,1,0,0,1.30164870743789
0,1,-3,-3,2,3,3,3,6,4,7,7,5,3,5,3,5,73,1,0,1,1,0.686186727412915
-1,-1,0,0,-2,2,3,2,2,1,1,2,4,4,4,4,5,53,0,0,1,1,0.677080187933414
0,0,-4,-2,-3,2,2,2,6,2,4,2,5,1,1,1,1,66,1,0,0,0,1.03817088521266
1,1,2,1,3,3,2,7,5,6,5,6,3,1,1,1,1,78,1,0,1,1,1.32181666852284
-1,-1,-7,-2,-5,2,3,0,7,4,6,3,8,1,1,2,1,80,0,1,1,1,0.780676308832276
0,0,0,-1,0,2,2,2,2,2,3,2,2,1,1,3,1,61,1,1,0,0,1.03339702357158
0,0,-1,-1,2,1,1,4,5,0,1,5,3,3,1,3,5,33,0,1,1,1,0.966366449080208
-1,-1,-5,-3,2,3,4,0,5,1,4,5,3,5,5,4,7,69,0,0,1,1,0.969024608038976
0,0,-1,0,0,3,3,5,6,7,7,5,5,3,1,3,2,74,0,1,0,0,1.04740406607
0,0,-9,-9,-4,3,3,0,9,0,9,6,10,4,5,4,7,27,1,0,1,1,0.950404237115194
1,2,0,0,0,3,2,5,5,0,0,5,5,1,1,2,1,30,0,0,0,0,0.567724281997821
2,1,-1,3,-1,3,1,1,2,3,0,1,2,1,2,3,1,43,0,1,0,1,0.700602760158204
1,0,-1,3,-6,4,3,7,8,9,6,2,8,1,1,3,1,56,0,1,0,0,0.950088329255838
0,0,0,0,0,4,4,10,10,10,10,10,10,5,5,4,1,37,1,0,0,0,0.941762693110478
2,2,0,2,1,4,2,7,7,8,6,9,8,1,1,3,2,64,1,0,1,1,0.880807004246363
-1,-1,-4,-3,-4,2,3,1,5,3,6,4,8,1,1,4,1,52,1,1,1,1,1.33565298699237
1,0,3,0,2,3,2,3,0,1,1,4,2,2,1,4,1,32,0,1,0,0,0.726778988003959
1,1,-3,-3,1,4,3,5,8,3,6,5,4,1,1,2,1,35,0,1,1,0,0.640095342171041
-1,0,-3,-5,0,2,3,2,5,1,6,3,3,1,1,3,3,57,1,0,0,0,1.26529992434598
0,-1,0,1,-4,3,3,0,0,1,0,0,4,3,4,2,4,54,0,1,0,1,1.6620954441499
1,-1,-4,-4,-5,4,3,4,8,3,7,3,8,4,4,3,7,81,0,0,1,1,0.677864585039849
0,0,0,0,0,2,2,5,5,5,5,5,5,3,3,3,1,35,0,0,0,0,0.726619949982949
0,0,-2,-2,0,1,1,0,2,0,2,2,2,2,5,4,5,28,0,0,1,0,0.704806829116349
-1,0,0,-1,1,3,4,9,9,7,8,9,8,4,5,3,1,22,0,0,0,0,1.23350368995701
0,0,-4,-2,0,2,2,1,5,2,4,5,5,1,1,1,3,61,1,1,1,1,1.37486016079663
-2,-1,-2,-3,-2,1,3,2,4,1,4,6,8,5,1,3,7,56,1,0,0,0,1.26529992434598
0,1,0,-1,0,3,3,8,8,7,8,8,8,4,1,3,2,32,1,1,1,1,0.90915713245011
0,0,-3,-3,-2,4,4,3,6,5,8,3,5,5,4,3,7,71,0,1,0,0,0.615615712705601
-1,-1,-3,-3,1,2,3,3,6,2,5,7,6,2,2,4,3,70,1,0,1,1,0.970366054592694
0,0,-3,-2,-1,3,3,0,3,1,3,4,5,3,5,4,5,46,0,1,0,0,0.70669514514957
1,0,-3,-3,1,3,2,3,6,2,5,6,5,2,2,2,7,66,0,1,1,1,1.07039305224686
0,0,0,-2,-1,1,1,0,0,3,5,1,2,1,1,2,4,71,0,0,0,0,0.871866766783756
-1,0,-2,-2,0,2,3,4,6,5,7,8,8,4,1,3,1,72,1,0,1,1,0.796675653672009
-1,0,-2,-2,2,3,4,5,7,5,7,5,3,3,1,4,2,59,0,1,0,0,1.00928497913445
0,0,-1,-2,-1,2,2,1,2,0,2,3,4,1,4,3,4,50,0,0,1,1,1.02669462306552
0,-1,-10,0,-6,4,4,0,10,10,10,3,9,1,4,4,1,71,0,1,1,1,0.985971652963289
0,1,-4,1,0,2,2,6,10,4,3,4,4,3,2,3,6,22,0,1,0,1,1.24511696776824
-1,-1,-3,-1,-3,2,3,3,6,4,5,2,5,2,2,2,2,44,1,0,1,0,0.69342567367563
-1,-1,-4,-4,-3,3,4,3,7,3,7,4,7,4,4,3,5,67,0,1,1,1,0.94403873874904
0,0,-1,-4,-2,2,2,5,6,3,7,7,9,1,2,1,3,29,1,1,0,1,1.09396718669245
0,0,0,0,2,3,3,2,2,2,2,5,3,2,1,3,6,65,1,0,1,0,1.03503235260843
1,0,1,2,-7,2,1,4,3,3,1,0,7,3,3,4,4,60,0,1,0,0,0.593211074771015
0,0,0,0,-2,2,2,3,3,2,2,5,7,5,4,4,7,34,1,1,1,1,0.808382678014032
0,1,-1,-1,-2,1,1,3,4,3,4,3,5,3,4,4,6,28,0,1,0,0,1.03540565941896
-3,-3,-2,-2,-1,1,4,4,6,2,4,1,2,3,3,3,2,38,0,0,0,0,0.624199981240723
0,1,0,1,0,2,2,7,7,7,6,5,5,3,3,1,4,28,0,1,0,1,0.6585886196855
-1,-1,-3,-2,2,2,3,6,9,6,8,7,5,1,1,3,7,68,1,0,1,1,1.13005266387694
-2,-2,-1,-2,-2,1,3,0,1,1,3,3,5,2,4,3,6,57,1,1,1,1,1.19816770887997
-2,0,-4,-1,2,1,3,2,6,2,3,8,6,3,2,3,7,34,0,1,0,0,0.658168886388622
0,2,-4,1,0,2,2,3,7,5,4,5,5,1,1,3,2,48,1,1,1,1,1.30164870743789
0,0,0,1,0,4,4,9,9,7,6,10,10,1,1,1,1,52,1,0,1,1,1.20854154202459
0,0,1,-1,2,3,3,6,5,5,6,6,4,2,1,2,1,84,0,1,1,0,1.24706620889149
-1,-1,-2,0,0,2,3,5,7,5,5,6,6,5,4,4,6,62,1,0,1,1,0.855536883243929
0,0,0,0,2,2,2,2,2,2,2,6,4,1,1,1,3,67,1,1,1,1,0.851607594104819
0,0,0,-1,1,3,3,5,5,4,5,3,2,3,3,1,4,35,1,1,1,1,1.05007638125218
-1,0,0,0,-5,1,2,0,0,0,0,0,5,3,4,4,6,43,0,1,1,0,1.14506222126633
1,1,-5,-4,-2,2,1,3,8,3,7,4,6,1,4,4,2,30,1,1,1,1,0.701080836366515
