"state","year","state_full","year_2012","year_2010","year_2014","last","first","primary","state.x","ahead","behind","compete","dem","repub","other","runoff","general","dateofrace","outcome_primary","poll_average","general_poll_average","comp","web","incumbent","proimm","antimm_score","anti_immigration.pct","pro_immigration.pct","immscore","teastateindexD","teastateindexR","whitedem_state","whiterep_state","state.y","tot_pop_2012","cvap_tot_est_2012","asian_pop_2012","black_pop_2012","allasian_cvap_tot_2012","asian_cvap_tot_2012","allasian_pct_cvap_2012","black_cvap_tot_2012","black_pct_cvap_2012","white_pop_2012","white_cvap_tot_2012","white_pct_cvap_2012","latino_pop_2012","latino_cvap_tot_2012","latino_pct_cvap_2012","pct_white_2012","pct_black_2012","pct_latino_2012","pct_asian_2012","total_cvap_2000","white_cvap_2000","pct_white_cvap_2000","latino_cvap_2000","pct_latino_cvap_2000","asian_cvap_2000","pct_asian_cvap_2000","black_cvap_2000","pct_black_cvap_2000","change_white_cvap_2000_2012","change_latino_cvap_2000_2012","change_asian_cvap_2000_2012","change_black_cvap_2000_2012","pct_change_foreignborn_2000_2010","dem_state_immigration_index","rep_state_immigration_index","independent_state_immigration_index","teaparty_stateindex","romney_votedifferential_2012","rrscalestate","sept_0ct_2014_unemployment","romney_vote_2012","unemployment_sept_oct_2012","ahead.1","behind.1","compete.1","changes","TX","CA","NM","AZ","borderstates","tradstate","dvlogit","dvlogitpro","newdv","X","lowmincvap","midmincvap","highmincvap","south","romneyvote2012","unemp","texas","newmexico","california","arizona","state_num","dems.mean","dems.sd","reps.mean","reps.sd","ind.mean","ind.sd","pct_regvote","pct_lat_grow","changes_20yr","changes_10yr","changes_5yr","dem_nativism","gop_nativism","ind_nativism","white_nativism","pct_asian_voters","pct_latino_voters","pct_latino_asian_voters","news_coverage","turnout"
"AK",2010,"Alaska",0,1,0,"McAdams","Scott",1,"AK",1,0,0,1,0,0,NA,0,"",50,"50",NA,31,"",0,0,0,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,1,0,0,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20100621025525/http://scottmcadams.org/issues",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Seth Kern","Jacob",1,"AK",0,1,0,1,0,0,NA,0,"",19,"19",NA,-31,"",0,0,0,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,0,69.6,0,0,0,0,0,0,NA,NA,NA,"",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Murkowski","Lisa",1,"AK",0,0,1,0,0,0,NA,0,"",49,"49",NA,-2,"",1,0,1,1,0,1,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,1,69.6,0,0,0,0,0,0,1,0,1,"https://web.archive.org/web/20101108172722/http://lisamurkowski.com/main/immigration/",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Murkowski","Lisa",0,"AK",0,0,1,0,0,0,NA,1,"",39.5,"30",NA,-7,"",1,0,1,1,0,1,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,1,69.6,0,0,0,0,0,0,1,0,1,"https://web.archive.org/web/20101108172722/http://lisamurkowski.com/main/immigration/",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"McAdams","Scott",0,"AK",0,1,0,1,0,0,NA,1,"",23.5,"30",NA,-7,"",0,0,0,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,1,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20101014222623/http://www.scottmcadams.org/issues/",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Miller","Joe",1,"AK",0,0,1,0,1,0,NA,0,"",51,"51",NA,2,"",0,0,1,1,0,1,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,1,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20100507034228/http://joemiller.us/issues.html",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Haase","David",1,"AK",0,1,0,1,0,0,NA,0,"",16,"16",NA,-34,"",0,0,0,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,0,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20100915162615/http://www.davidforalaska.com/Issues.htm",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Vondersaar","Frank",1,"AK",0,1,0,1,0,0,NA,0,"",15,"15",NA,-35,"",0,0,0,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,0,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20150105150543/https://sites.google.com/site/vondersaar/",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2010,"Alaska",0,1,0,"Miller","Joe",0,"AK",0,0,1,0,1,0,NA,1,"",35.5,"37",NA,7,"",0,0,1,1,0,1,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,1,69.6,0,0,0,0,0,0,0,0,0,"https://web.archive.org/web/20100507034228/http://joemiller.us/issues.html",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,115.66,48.51,24.48,-0.380952381,1.507462687,1,0.908256881,1.26,3.15,4.41,"45",52.575
"AK",2014,"Alaska",0,0,1,"Bryk","William",1,"AK",0,1,0,1,0,0,NA,0,"8/19/14",2.869999886,"",NA,-80.65000153,"",0,0,NA,0,0,0,1.076923,3.8,0.6857143,0.8305085,"AK",711140,503360,37665,22765,22350,18425,0.044401621,15730,0.03125,455485,352210,0.699717896,40370,21820,0.043348697,0.640499761,0.032011981,0.056768006,0.052964255,"436,425","311,498",0.7137492,"15,592",0.0357266,"18,758",0.042981,"14,247",0.032644784,0.130697468,0.39943561,-0.01807327,0.09427845,22.1,0.4857143,2.915254,2.214286,0.3557692,14,7.326923,6.8,0.14,7.3,0,1,0,69.6,0,0,0,0,0,0,0,0,NA,"",0,0,0,0,0.14,7.3,0,0,0,0,50,-1.190930056,0.071346952,1.046558496,0.067677203,0.061250794,0.058483703,3.8,69.6,172.43,87.61,22.29,0.384615385,1.75,1.321428571,1.378947368,3.601,2.77,6.371,"39",44.35
