"","X","Country","HDI.Rank","HDI","CPI","Region"
"1",1,"Afghanistan",172,0.398,9,"Asia Pacific"
"2",2,"Albania",70,0.739,7.4,"East EU Cemt Asia"
"3",3,"Algeria",96,0.698,7.6,"MENA"
"4",4,"Angola",148,0.486,8.5,"SSA"
"5",5,"Argentina",45,0.797,7.5,"Americas"
"6",6,"Armenia",86,0.716,7.9,"East EU Cemt Asia"
"7",7,"Australia",2,0.929,1.7,"Asia Pacific"
"8",8,"Austria",19,0.885,2.7,"EU W. Europe"
"9",9,"Azerbaijan",91,0.7,8.1,"East EU Cemt Asia"
"10",10,"Bahamas",53,0.771,3.2,"Americas"
"11",11,"Bahrain",42,0.806,5.4,"MENA"
"12",12,"Bangladesh",146,0.5,7.8,"Asia Pacific"
"13",13,"Barbados",47,0.793,2.7,"Americas"
"14",14,"Belarus",65,0.756,8.1,"East EU Cemt Asia"
"15",15,"Belgium",18,0.886,3,"EU W. Europe"
"16",16,"Benin",167,0.427,7.5,"SSA"
"17",17,"Bhutan",141,0.522,4.8,"Asia Pacific"
"18",18,"Bolivia",108,0.663,7.7,"Americas"
"19",19,"Bosnia and Herzegovina",74,0.733,7.3,"East EU Cemt Asia"
"20",20,"Botswana",118,0.633,4.4,"SSA"
"21",21,"Brazil",84,0.718,6.7,"Americas"
"22",22,"Britain",28,0.863,2.7,"EU W. Europe"
"23",23,"Bulgaria",55,0.771,7.2,"EU W. Europe"
"24",24,"Burkina Faso",181,0.331,7.5,"SSA"
"25",25,"Burundi",185,0.316,8.6,"SSA"
"26",26,"Cambodia",139,0.523,8.4,"Asia Pacific"
"27",27,"Cameroon",150,0.482,8,"SSA"
"28",28,"Canada",6,0.908,1.8,"Americas"
"29",29,"Cape Verde",133,0.568,5,"SSA"
"30",30,"Central African Republic",179,0.343,8.3,"SSA"
"31",31,"Chad",183,0.328,8.5,"SSA"
"32",32,"Chile",44,0.805,3.3,"Americas"
"33",33,"China",101,0.687,6.9,"Asia Pacific"
