zip_merge,total_pop,white,black,asian,latino
ZCTA5 00601,18533,150,0,0,18360
ZCTA5 00602,41930,2393,49,0,39205
ZCTA5 00603,54475,1372,8,123,52570
ZCTA5 00606,6386,0,18,0,6368
ZCTA5 00610,29111,268,20,0,28782
ZCTA5 00612,70541,420,10,28,70027
ZCTA5 00616,10617,29,0,0,10585
ZCTA5 00617,24458,92,12,0,24337
ZCTA5 00622,5419,109,0,0,5310
ZCTA5 00623,45314,276,15,0,45023
ZCTA5 00624,26439,203,47,0,26158
ZCTA5 00627,35260,148,52,44,34921
ZCTA5 00631,1836,66,0,0,1770
ZCTA5 00637,25511,265,0,0,25246
ZCTA5 00638,19166,59,0,0,19107
ZCTA5 00641,30987,471,27,0,30291
ZCTA5 00646,37942,605,35,25,37226
ZCTA5 00647,5605,162,0,0,5443
ZCTA5 00650,15359,83,0,0,15232
ZCTA5 00652,3378,11,0,0,3367
ZCTA5 00653,14048,104,0,0,13944
ZCTA5 00656,21684,207,0,0,21477
ZCTA5 00659,41843,198,0,156,41431
ZCTA5 00660,17239,203,12,50,16937
ZCTA5 00662,43600,165,12,12,43333
ZCTA5 00664,16907,113,0,0,16794
ZCTA5 00667,26300,158,0,0,26142
ZCTA5 00669,30210,153,0,35,29934
ZCTA5 00670,9867,13,0,0,9854
ZCTA5 00674,44838,349,0,0,44489
ZCTA5 00676,40310,394,0,0,39873
ZCTA5 00677,15201,1065,221,0,13872
ZCTA5 00678,27733,90,0,0,27610
ZCTA5 00680,57649,599,47,61,56778
ZCTA5 00682,33510,403,89,105,32844
ZCTA5 00683,34123,396,57,0,33670
ZCTA5 00685,42753,363,2,0,42388
ZCTA5 00687,32508,28,48,1,32409
ZCTA5 00688,12311,102,0,0,12209
ZCTA5 00690,6909,64,0,6,6792
ZCTA5 00692,37691,630,50,0,36993
ZCTA5 00693,61208,1188,0,0,60010
ZCTA5 00694,199,0,0,0,199
ZCTA5 00698,42394,476,28,25,41865
ZCTA5 00703,29189,303,5,0,28870
ZCTA5 00704,7879,0,13,0,7866
ZCTA5 00705,25665,69,0,0,25596
ZCTA5 00707,12304,100,25,0,12179
ZCTA5 00714,19601,177,19,0,19318
ZCTA5 00715,4582,0,0,0,4582
ZCTA5 00716,33314,175,8,34,33097
ZCTA5 00717,18821,69,6,0,18746
ZCTA5 00718,26429,361,11,11,26046
ZCTA5 00719,30998,76,0,0,30887
ZCTA5 00720,23212,142,0,56,23014
ZCTA5 00723,19397,173,96,0,19110
ZCTA5 00725,92339,817,53,22,91381
ZCTA5 00727,56000,345,27,0,55628
ZCTA5 00728,43451,257,16,6,43148
ZCTA5 00729,54523,65,48,0,54404
ZCTA5 00730,40412,229,32,0,40139
ZCTA5 00731,13559,21,0,0,13538
ZCTA5 00735,14088,99,44,0,13945
ZCTA5 00736,51805,117,36,0,51616
ZCTA5 00738,35077,212,66,33,34698
ZCTA5 00739,39479,120,0,0,39336
ZCTA5 00740,2310,26,0,0,2268
ZCTA5 00741,5211,35,11,0,5155
ZCTA5 00745,55315,217,59,0,55026
ZCTA5 00751,23467,49,14,0,23329
ZCTA5 00754,40846,172,0,90,40570
ZCTA5 00757,23210,32,16,0,23162
ZCTA5 00765,9182,339,19,0,8815
ZCTA5 00766,26727,51,10,0,26577
ZCTA5 00767,38138,79,99,13,37947
ZCTA5 00769,40179,85,12,0,40063
ZCTA5 00771,38000,53,0,49,37884
ZCTA5 00772,22194,6,9,0,22179
ZCTA5 00773,20106,236,87,16,19766
ZCTA5 00775,1790,99,9,0,1680
ZCTA5 00777,40772,407,0,0,40311
ZCTA5 00778,44880,184,50,0,44646
ZCTA5 00780,13954,4,0,0,13950
ZCTA5 00782,18991,77,0,0,18914
ZCTA5 00783,37004,341,0,0,36607
ZCTA5 00784,45043,117,100,0,44826
ZCTA5 00786,346,0,0,0,346
ZCTA5 00791,53454,411,30,108,52905
ZCTA5 00794,30675,29,3,0,30572
ZCTA5 00795,48671,114,4,47,48506
ZCTA5 00901,6064,178,34,16,5827
ZCTA5 00906,10,0,0,0,10
ZCTA5 00907,16169,775,153,51,15166
ZCTA5 00909,5717,76,59,17,5565
ZCTA5 00911,7772,391,36,0,7334
ZCTA5 00912,6724,43,72,33,6576
ZCTA5 00913,9617,269,0,0,9348
ZCTA5 00915,33413,188,205,67,32897
ZCTA5 00917,21779,145,37,17,21565
ZCTA5 00918,17382,228,83,0,17034
ZCTA5 00920,19016,161,41,8,18776
ZCTA5 00921,39489,411,16,10,39052
ZCTA5 00923,30755,264,167,0,30113
ZCTA5 00924,57518,851,121,44,56314
ZCTA5 00925,6567,76,66,22,6375
ZCTA5 00926,111275,1075,147,134,109698
ZCTA5 00927,15449,168,73,0,15186
ZCTA5 00934,274,9,4,0,261
ZCTA5 00936,1431,20,23,0,1388
ZCTA5 00949,82644,573,135,61,81777
ZCTA5 00950,0,0,0,0,0
ZCTA5 00951,6,0,0,0,6
ZCTA5 00952,10294,37,0,0,10227
ZCTA5 00953,72520,313,21,0,72186
ZCTA5 00956,80531,314,22,34,80132
ZCTA5 00957,46777,337,7,138,46268
ZCTA5 00959,48521,646,168,42,47411
ZCTA5 00960,2240,16,24,0,2200
ZCTA5 00961,32703,343,73,106,32063
ZCTA5 00962,22523,41,23,14,22445
ZCTA5 00965,9579,22,51,0,9464
ZCTA5 00966,17696,290,0,21,17385
ZCTA5 00968,3774,101,0,0,3673
ZCTA5 00969,42066,603,56,10,41331
ZCTA5 00971,30911,240,87,0,30584
ZCTA5 00976,64650,608,58,25,63848
ZCTA5 00979,16836,495,55,147,16132
ZCTA5 00982,16370,158,57,56,16063
ZCTA5 00983,42438,470,28,0,41794
